City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Souillac,MU,-20.5167,57.5167,78.37,83,40,8.05,scattered clouds
173,Juan Lacaze,UY,-34.4342,-57.4381,75.11,68,62,19.51,broken clouds
174,Rabo De Peixe,PT,37.8,-25.5833,62.28,97,40,4.61,scattered clouds
175,Cabedelo,BR,-6.9811,-34.8339,83.07,79,16,12.64,few clouds
176,Qabaqcol,AZ,41.72,46.2647,35.64,56,7,1.21,clear sky
177,Mahebourg,MU,-20.4081,57.7,78.26,83,40,8.05,scattered clouds
178,Yermakovskoye,RU,53.2831,92.4003,23.95,84,99,6.08,overcast clouds
179,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,88.0,43,23,10.58,few clouds
180,Kalmunai,LK,7.4167,81.8167,77.52,86,1,2.77,clear sky
181,Ous,RU,60.9058,61.5186,7.52,94,100,8.16,light snow
182,Thompson,CA,55.7435,-97.8558,-5.64,77,40,5.75,scattered clouds
183,Korla,CN,41.7597,86.1469,26.85,60,93,3.09,overcast clouds
184,Muzaffarabad,PK,34.37,73.4711,55.98,53,98,2.53,overcast clouds
185,Chokurdakh,RU,70.6333,147.9167,-40.68,100,59,3.11,broken clouds
186,Dudinka,RU,69.4058,86.1778,-30.39,100,89,4.52,overcast clouds
187,Barkly West,ZA,-28.5354,24.5215,63.68,88,100,13.0,overcast clouds
188,Camabatela,AO,-8.1881,15.375,63.57,99,99,1.9,light rain
189,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.79,59,75,15.66,broken clouds
190,Broken Hill,AU,-31.95,141.4333,60.51,55,54,9.22,broken clouds
191,Vestmannaeyjar,IS,63.4427,-20.2734,32.77,65,8,8.48,clear sky
192,Aklavik,CA,68.2191,-135.0107,-21.17,68,1,4.61,clear sky
193,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,42,40,24.16,scattered clouds
194,Pevek,RU,69.7008,170.3133,-17.93,99,100,7.72,overcast clouds
195,Ferrol,ES,43.4832,-8.2369,54.27,68,86,16.24,overcast clouds
196,Bathsheba,BB,13.2167,-59.5167,80.06,78,95,17.0,overcast clouds
197,Amapa,BR,1.0,-52.0,74.03,98,100,3.89,overcast clouds
198,Kirakira,SB,-10.4544,161.9205,82.74,76,76,4.07,broken clouds
199,Nouakchott,MR,18.0858,-15.9785,71.53,43,100,9.31,overcast clouds
200,Byron Bay,AU,-28.65,153.6167,71.87,88,60,11.07,broken clouds
201,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,21,0,17.27,clear sky
202,Beyneu,KZ,45.3167,55.2,32.27,78,6,10.45,clear sky
203,Balykshi,KZ,47.0667,51.8667,32.0,86,4,13.42,mist
204,Corrente,BR,-3.7367,-43.3394,77.04,84,100,3.27,overcast clouds
205,Pak Phanang,TH,8.3511,100.202,78.08,78,96,11.65,overcast clouds
206,Awjilah,LY,29.1081,21.2869,56.64,46,0,14.74,clear sky
207,Basco,PH,20.4487,121.9702,72.55,67,100,24.4,overcast clouds
208,Zarubino,RU,42.63,131.0922,19.53,64,0,6.73,clear sky
209,Airai,TL,-8.9266,125.4092,61.18,95,100,0.65,light rain
210,Pestyaki,RU,56.7103,42.6717,22.55,87,100,10.11,overcast clouds
211,Linxia,CN,35.6003,103.2064,26.22,58,0,4.05,clear sky
212,Carnarvon,AU,-24.8667,113.6333,71.67,83,0,5.75,clear sky
213,Half Moon Bay,US,37.4636,-122.4286,63.77,77,1,3.0,clear sky
214,Christchurch,NZ,-43.5333,172.6333,75.02,65,20,1.01,few clouds
215,Klaksvik,FO,62.2266,-6.589,34.72,55,100,18.92,overcast clouds
216,Deputatskiy,RU,69.3,139.9,-39.87,96,43,2.13,scattered clouds
217,Asau,RO,46.4333,26.4,31.95,77,97,4.03,overcast clouds
218,Houma,US,29.5958,-90.7195,81.0,60,1,1.99,clear sky
219,Porec,HR,45.2258,13.5939,48.85,89,100,13.15,moderate rain
220,Northam,GB,51.0333,-4.2167,45.39,76,52,25.03,broken clouds
221,Nelson,NZ,-41.2833,173.2833,66.79,95,100,1.99,light rain
222,Blind River,CA,46.1834,-82.9582,32.25,65,100,17.83,overcast clouds
223,Khatanga,RU,71.9667,102.5,-21.26,98,100,8.43,overcast clouds
224,Waddan,LY,29.1614,16.139,51.78,56,0,7.25,clear sky
225,Mount Gambier,AU,-37.8333,140.7667,40.91,100,0,0.0,clear sky
226,Carberry,CA,49.8689,-99.3602,23.23,83,100,7.07,overcast clouds
227,Bayir,TR,37.2687,28.2167,50.52,98,100,4.59,light rain
228,Le Vauclin,MQ,14.5452,-60.8388,84.25,65,20,17.27,few clouds
229,Manturovo,RU,58.3353,44.7619,10.65,88,100,9.06,overcast clouds
